document id,keyword category,the word found,line/page number,text line
1,sensing,sensing,"page 2, line 17","nizational structures, decision rules, and disciplines?which undergird enterprise-level sensing,"
1,seizing,seizing,"page 2, line 18","seizing, and reconfiguring capacities are difficult to develop and deploy. Enterprises with strong"
1,transforming,reconfiguring,"page 2, line 18","seizing, and reconfiguring capacities are difficult to develop and deploy. Enterprises with strong"
1,sensing,shape,"page 2, line 20","but also shape them through innovation and through collaboration with other enterprises, enti"
1,sensing,sense,"page 2, line 45",be disaggregated into the capacity (1) to sense
1,sensing,shape,"page 2, line 46","and shape opportunities and threats, (2) to seize"
1,seizing,seize,"page 2, line 46","and shape opportunities and threats, (2) to seize"
1,transforming,reconfiguring,"page 2, line 49","when necessary, reconfiguring the business enter"
1,sensing,shape,"page 3, line 4",embrace the enterprise's capacity to shape the
1,sensing,shaping,"page 3, line 71",also involves shaping new 'rules of the game' in
1,sensing,shape,"page 4, line 37",to shape the environment. The element of dynamic
1,sensing,shaping,"page 4, line 38",capabilities that involves shaping (and not just
1,sensing,sensing,"page 5, line 29",SENSING (AND SHAPING)
1,sensing,shaping,"page 5, line 29",SENSING (AND SHAPING)
1,sensing,sensing,"page 5, line 43",emerging trajectories are hard to discern. Sensing
1,sensing,shaping,"page 5, line 44",(and shaping) new opportunities is very much a
1,sensing,shape,"page 5, line 68","To identify and shape opportunities, enterprises"
1,sensing,shape,"page 6, line 11",shape of the 'rules of the game' is thus the
1,sensing,sense,"page 6, line 27",to create and/or sense opportunities is clearly not
1,sensing,sense,"page 6, line 31","the ability to recognize, sense, and shape devel"
1,sensing,shape,"page 6, line 31","the ability to recognize, sense, and shape devel"
1,sensing,sensing,"page 6, line 60","able if the sensing, creative, and learning functions"
1,sensing,shape,"page 6, line 65","customer needs and competitor activity, and shape"
1,sensing,sense,"page 6, line 68",capable of making sense of it. Internal argument
1,sensing,sense,"page 6, line 96","6 In a limited sense, that is about decision making under uncer"
1,sensing,sense,"page 7, line 42",alert and sense the opportunity are often able to
1,sensing,sensing,"page 7, line 88",Sensing opportunities and threats can also be
1,sensing,sense,"page 8, line 10",and/or the enterprise to properly sense opportu
1,sensing,shaped,"page 8, line 28",shaped in part by the selection processes at work in
1,sensing,shaping,"page 8, line 75","difficult-to-replicate assets, thereby shaping com"
1,sensing,shaped,"page 8, line 102",being shaped by innovation.
1,sensing,sense,"page 9, line 11","Learn and to Sense, Filter,"
1,sensing,shape,"page 9, line 12","Shape, and Calibrate"
1,sensing,sensing,"page 9, line 23",Figure 1. Elements of an ecosystem framework for 'sensing' market and technological opportunities
1,sensing,sense,"page 9, line 27","side the enterprise, making sense of it, and figur"
1,sensing,sensing,"page 9, line 39",vidual and enterprise traits that undergird sensing
1,seizing,seizing,"page 9, line 41",SEIZING OPPORTUNITIES
1,sensing,sensed,"page 9, line 44","is sensed, it must be addressed through new prod"
1,seizing,invest,"page 9, line 47",cialization activity. Multiple (competing) invest
1,seizing,investing,"page 9, line 66",emerges and then investing heavily once a design
1,seizing,investing,"page 9, line 82","nity is ripe, investing heavily in the particular tech"
1,seizing,invest,"page 10, line 7","not just when, where, and how much to invest."
1,transforming,transform,"page 10, line 42","transform internal views, and facilitate necessary"
1,sensing,senses,"page 10, line 97",enterprise senses a business opportunity but fails
1,seizing,invest,"page 10, line 98","to invest. In particular, incumbent enterprises tend"
