call_id,date,exchange,q,ticker,capability,segment_id,window_start,window_end,matched_terms,segment_text
0,2020-08-27 21:00:00,NASDAQ,2020-Q2,BILI,seizing,1,3408,3417,invest,very good window to invest in user growth and
0,2020-08-27 21:00:00,NASDAQ,2020-Q2,BILI,seizing,2,4592,4601,invested,mentioned earlier we have invested significantly in expanding our
0,2020-08-27 21:00:00,NASDAQ,2020-Q2,BILI,seizing,3,4941,4950,invest,we will continue to invest in improving our advertisement
1,2020-07-30 16:30:00,NYSE,2020-Q3,GFF,sensing,1,3528,3537,sense,maybe give us a sense of how trends and
1,2020-07-30 16:30:00,NYSE,2020-Q3,GFF,seizing,1,275,284,investing,new customers have been investing in home projects such
1,2020-07-30 16:30:00,NYSE,2020-Q3,GFF,seizing,2,833,842,investing,and manufacturing facilities and investing in automation and e
1,2020-07-30 16:30:00,NYSE,2020-Q3,GFF,seizing,3,1278,1287,invest,uncertainty while continuing to invest in all of our
1,2020-07-30 16:30:00,NYSE,2020-Q3,GFF,seizing,4,2799,2808,investing,doing in terms of investing in the business the
1,2020-07-30 16:30:00,NYSE,2020-Q3,GFF,seizing,5,3462,3471,investing,going to restaurants and investing in their homes and
1,2020-07-30 16:30:00,NYSE,2020-Q3,GFF,seizing,6,3692,3701,invest,going to continue to invest in the brands to
2,2019-10-23 17:00:00,NASDAQ,2020-Q1,LRCX,sensing,1,3921,3930,sense,think it would make sense that they would be
2,2019-10-23 17:00:00,NASDAQ,2020-Q1,LRCX,sensing,2,4067,4076,sense,least give us some sense on how fast the
2,2019-10-23 17:00:00,NASDAQ,2020-Q1,LRCX,sensing,3,4382,4391,sense,trying to get a sense of how we think
2,2019-10-23 17:00:00,NASDAQ,2020-Q1,LRCX,seizing,1,901,910,invested,all market segments we invested early in d to
2,2019-10-23 17:00:00,NASDAQ,2020-Q1,LRCX,seizing,2,938,947,investing,scaling and we are investing aggressively to deliver the
2,2019-10-23 17:00:00,NASDAQ,2020-Q1,LRCX,seizing,3,1905,1914,investing,remain laser focused on investing in research and development
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,sensing,1,3382,3391,sense,that it makes more sense for those customers to
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,sensing,2,7151,7160,sense,business if that makes sense so if you think
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,1,809,818,investing,spend against growth while investing in the business for
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,2,965,974,invested,will continue to be invested in a manner consistent
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,3,979,988,invested,continue to stay conservatively invested in shorter duration securities
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,4,1016,1025,invested,book yield for the invested portfolios was basis points
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,5,1032,1041,invested,average quality of the invested portfolios was aa and
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,6,1229,1238,invest,sales we continue to invest in the business and
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,7,1899,1908,invest,into new markets and invest in support of our
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,8,2023,2032,invest,in these branches we invest to support consistency of
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,9,2150,2159,invest,nimble we continue to invest in infrastructure that supports
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,10,3986,4000,invest,we re going to invest in our businesses and invest in our branches in
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,seizing,11,4011,4020,invest,we re going to invest in things that make
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,1,1763,1772,sense,try and get a sense when you are able
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,2,1790,1799,sense,love to get a sense of since a quarter
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,3,1836,1845,sense,love to get a sense of obviously everything kind
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,4,2283,2292,sense,trying to get a sense of it let s
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,5,2508,2517,sense,our expectation in that sense michael rehaut jp morgan
