call_id,date,exchange,q,ticker,word_count,total_dynamic_capability_keywords,sensing_count,sensing_per_1000_words,seizing_count,seizing_per_1000_words,transforming_count,transforming_per_1000_words,total_dynamic_capability_keywords_per_1000_words,keyword_sense_count,keyword_senses_count,keyword_sensed_count,keyword_sensing_count,keyword_shape_count,keyword_shaped_count,keyword_shaping_count,keyword_seize_count,keyword_seized_count,keyword_seizing_count,keyword_invest_count,keyword_investing_count,keyword_invested_count,keyword_transform_count,keyword_transforming_count,keyword_transformed_count,keyword_reconfigure_count,keyword_reconfigured_count,keyword_reconfiguring_count,keyword_redeployment_count,keyword_redeploy_count,keyword_redeployed_count,keyword_redesign_count,keyword_redesigned_count,keyword_redesigning_count,keyword_revamping_count,keyword_revamped_count,keyword_revamp_count
0,2020-08-27 21:00:00,NASDAQ,2020-Q2,BILI,5815,3,0,0.0,3,0.5159071367153912,0,0.0,0.5159071367153912,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-07-30 16:30:00,NYSE,2020-Q3,GFF,4807,7,1,0.20802995631370916,6,1.248179737882255,0,0.0,1.4562096941959641,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019-10-23 17:00:00,NASDAQ,2020-Q1,LRCX,9112,6,3,0.3292361720807726,3,0.3292361720807726,0,0.0,0.6584723441615452,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019-11-06 12:00:00,NASDAQ,2019-Q3,BBSI,8390,14,2,0.23837902264600716,12,1.430274135876043,0,0.0,1.66865315852205,2,0,0,0,0,0,0,0,0,0,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,4655,12,12,2.5778732545649836,0,0.0,0,0.0,2.5778732545649836,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-11-04 17:00:00,NYSE,2020-Q3,GDOT,8579,3,1,0.11656370206317752,2,0.23312740412635505,0,0.0,0.3496911061895326,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-08-05 08:30:00,NYSE,2020-Q2,KAR,10969,3,2,0.1823320266204759,1,0.09116601331023795,0,0.0,0.27349803993071387,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2021-03-24 11:00:00,NYSE,2021-Q2,EPAC,9552,2,2,0.20938023450586266,0,0.0,0,0.0,0.20938023450586266,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,9481,15,8,0.8437928488556059,7,0.7383187427486552,0,0.0,1.5821115916042612,8,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-08-11 08:30:00,NYSE,2022-Q2,SGHC,5397,2,0,0.0,2,0.37057624606262735,0,0.0,0.37057624606262735,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
